# Constructed from biom file
#OTU ID	AC1-1_S10_L001_R1_001	AC1-2_S11_L001_R1_001	AC1-3_S12_L001_R1_001	AC2-1_S30_L001_R1_001	AC2-2_S31_L001_R1_001	AC2-3_S32_L001_R1_001	AN1-1_S1_L001_R1_001	AN1-2_S40_L001_R1_001	AN1-3_S41_L001_R1_001	AN2-1_S2_L001_R1_001	AN2-2_S3_L001_R1_001	AN2-3_S42_L001_R1_001	KL1-1_S7_L001_R1_001	KL1-2_S8_L001_R1_001	KL1-3_S9_L001_R1_001	KL2-1_S27_L001_R1_001	KL2-2_S28_L001_R1_001	KL2-3_S29_L001_R1_001	LS1-1_S4_L001_R1_001	LS1-2_S5_L001_R1_001	LS1-3_S6_L001_R1_001	LS2-1_S34_L001_R1_001	LS2-2_S35_L001_R1_001	LS2-3_S36_L001_R1_001	MJ1-1_S33_L001_R1_001	MJ1-2_S25_L001_R1_001	MJ1-3_S26_L001_R1_001	MJ2-1_S37_L001_R1_001	MJ2-2_S38_L001_R1_001	MJ2-3_S39_L001_R1_001	NS1-1_S16_L001_R1_001	NS1-2_S17_L001_R1_001	NS1-3_S18_L001_R1_001	NS2-1_S22_L001_R1_001	NS2-2_S23_L001_R1_001	NS2-3_S24_L001_R1_001	RF1-1_S13_L001_R1_001	RF1-2_S14_L001_R1_001	RF1-3_S15_L001_R1_001	RF2-1_S19_L001_R1_001	RF2-2_S20_L001_R1_001	RF2-3_S21_L001_R1_001
k__Pseudomonadati;__;__;__;__;__	425.0	383.0	570.0	834.0	278.0	455.0	1152.0	786.0	1458.0	627.0	797.0	1076.0	524.0	541.0	0.0	279.0	262.0	360.0	62.0	889.0	201.0	497.0	201.0	398.0	462.0	474.0	376.0	200.0	341.0	149.0	558.0	495.0	323.0	559.0	660.0	555.0	619.0	731.0	734.0	992.0	323.0	842.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;__;__	569.0	135.0	308.0	300.0	357.0	270.0	228.0	285.0	295.0	23.0	52.0	85.0	143.0	287.0	0.0	556.0	149.0	212.0	118.0	200.0	218.0	127.0	10.0	208.0	630.0	179.0	206.0	642.0	576.0	1408.0	869.0	1002.0	717.0	494.0	422.0	729.0	349.0	390.0	314.0	477.0	235.0	238.0
k__Thermotogati;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	26.0	455.0	295.0	0.0	104.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	12.0	20.0	0.0	0.0	0.0	13.0	130.0	0.0	0.0	110.0	86.0	857.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	10.0	0.0	0.0	49.0	80.0	149.0	0.0	0.0	0.0
k__Pseudomonadati;p__Verrucomicrobiota;c__Terrimicrobiia;o__Terrimicrobiales;f__Terrimicrobiaceae;g__Terrimicrobium	47.0	0.0	6.0	58.0	0.0	26.0	75.0	79.0	28.0	30.0	72.0	60.0	13.0	37.0	0.0	0.0	0.0	0.0	202.0	2893.0	40.0	5.0	0.0	0.0	0.0	23.0	50.0	0.0	0.0	0.0	65.0	52.0	45.0	53.0	131.0	226.0	71.0	15.0	0.0	77.0	153.0	249.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Chujaibacter	1557.0	33.0	478.0	0.0	213.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1706.0	567.0	64.0	0.0	0.0	0.0	331.0	145.0	73.0	13.0	17.0	19.0	0.0	21.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0
Unassigned;__;__;__;__;__	358.0	562.0	333.0	368.0	610.0	825.0	503.0	547.0	529.0	471.0	358.0	513.0	722.0	793.0	0.0	342.0	234.0	486.0	611.0	389.0	431.0	303.0	521.0	467.0	197.0	481.0	554.0	190.0	222.0	59.0	356.0	413.0	502.0	442.0	377.0	425.0	480.0	500.0	561.0	613.0	197.0	682.0
k__Pseudomonadati;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Aquisphaera	147.0	86.0	128.0	0.0	140.0	100.0	0.0	35.0	26.0	25.0	0.0	27.0	0.0	32.0	0.0	61.0	148.0	143.0	927.0	0.0	119.0	414.0	138.0	174.0	79.0	0.0	86.0	223.0	83.0	121.0	0.0	9.0	0.0	0.0	36.0	0.0	26.0	241.0	114.0	31.0	0.0	28.0
k__Pseudomonadati;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea	0.0	63.0	0.0	731.0	29.0	140.0	697.0	691.0	966.0	572.0	1010.0	1144.0	408.0	505.0	0.0	243.0	0.0	122.0	29.0	138.0	77.0	0.0	0.0	0.0	62.0	129.0	271.0	21.0	9.0	0.0	493.0	329.0	243.0	363.0	498.0	613.0	272.0	0.0	58.0	598.0	67.0	899.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;__	118.0	363.0	217.0	162.0	170.0	744.0	353.0	374.0	285.0	247.0	251.0	155.0	225.0	356.0	0.0	445.0	306.0	533.0	75.0	58.0	0.0	587.0	276.0	469.0	190.0	315.0	360.0	613.0	222.0	480.0	73.0	137.0	84.0	108.0	231.0	126.0	349.0	484.0	335.0	124.0	122.0	302.0
k__Pseudomonadati;p__Verrucomicrobiota;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter	441.0	270.0	709.0	12.0	1376.0	146.0	45.0	119.0	85.0	143.0	191.0	172.0	85.0	54.0	0.0	67.0	79.0	198.0	178.0	484.0	968.0	425.0	37.0	181.0	217.0	127.0	161.0	173.0	511.0	299.0	393.0	496.0	520.0	398.0	564.0	634.0	444.0	524.0	534.0	340.0	1291.0	333.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	0.0	104.0	82.0	77.0	74.0	25.0	22.0	57.0	78.0	119.0	56.0	38.0	118.0	230.0	0.0	0.0	38.0	88.0	78.0	20.0	0.0	0.0	0.0	0.0	27.0	0.0	46.0	63.0	0.0	0.0	38.0	27.0	38.0	29.0	65.0	34.0	159.0	69.0	102.0	51.0	64.0	46.0
